status,city,year,state,total_tract_income,total_households_with_income,percent_householdsbelow50k_of_total,total_households_income_below_50k,total_households_income_50k_and_100k,total_households_income_100k_plus,bucket_annual_income_household,median_annual_income_individual,total_housing_units,occupied_housing_units,vacant_housing_units,median_monthly_housing_costs,total_households,total_rent_burden_normal,total_rent_burden_moderate,total_rent_burden_severe,percent_rent_burden_normal,percent_rent_burden_moderate,percent_rent_burden_severe,median_gross_rent_burden,avg_household_size,total_population,total_25_and_older,total_highest_not_graduate_hs,total_highest_graduate_hs,total_highest_college_degree,percent_graduate_hs,percent_no_college_degree,percent_college_degree,total_3_to_24,total_enrolled_pre_college,total_enrolled_higher_education,total_not_enrolled,total_employable,total_employed,complete_plumbing_occupied_housing,lacking_plumbing_occupied_housing,total_all_races,total_white_non_hispanic,total_african_american,total_native_american,total_asian,total_hispanic,total_other,percent_african_american,percent_native_american,percent_hispanic,percent_urm,total_all_ages,total_0_4,total_5_17,total_18_24,total_25_39,total_40_54,total_55_64,total_65_plus,percent_0_4,percent_5_17,percent_18_24,percent_children,percent_youth,percent_elderly
banked,Abbeville,2019,SC,342013400,5972,62.3074347,3721,1389,862,110771,68445,7584,5972,1612,1719,1439,560,278,356,38.91591383,19.31897151,24.73940236,105.9,7.26,14579,10421,1898,5365,3158,81.7867767,69.69580654,30.30419346,3676,2373,222,1081,11806,6449,5942,30,14579,9727,4530,15,0,130,177,31.07208999,0.1028877152,0.8916935318,32.06667124,14579,797,2235,1126,2171,3027,1945,3278,5.466767268,15.33026957,7.723437822,20.79703683,28.52047466,22.48439536
banked,Abbottstown,2019,PA,239690400,2893,36.81299689,1065,996,832,64514,31117,3053,2893,160,1055,499,247,136,92,49.498998,27.25450902,18.43687375,29.3,2.56,7418,5196,544,3147,1505,89.53040801,71.03541186,28.96458814,2004,1267,196,541,6082,4099,2893,0,7418,6877,121,0,56,208,156,1.631167431,0,2.803990294,4.435157724,7418,357,1146,719,1059,1590,1128,1419,4.812617956,15.44890806,9.692639525,20.26152602,29.95416554,19.12914532
banked,Aberdeen,2019,MD,637666000,7511,41.93849021,3150,2226,2135,307279,160627,8435,7511,924,5573,3136,1241,834,786,39.57270408,26.59438776,25.06377551,171.6,12.68,18740,12996,1744,7129,4123,86.5804863,68.2748538,31.7251462,5044,3013,479,1552,15246,9940,7456,55,18740,10879,4777,0,695,657,1732,25.4909285,0,3.505869797,28.99679829,18740,1206,2729,1809,3731,3675,2753,2837,6.435432231,14.5624333,9.653148346,20.99786553,30.65101387,15.13874066
banked,Aberdeen,2019,NC,261787500,3488,40.94036697,1428,1404,656,57839,30479,3921,3488,433,962,1212,817,170,214,67.40924092,14.02640264,17.65676568,23.2,2.48,8854,5959,516,2364,3079,91.340829,48.33025675,51.66974325,2421,1608,352,461,6863,4459,3488,0,8854,5885,1967,80,154,518,250,22.21594759,0.9035464197,5.850463068,28.96995708,8854,706,1502,687,2186,1304,992,1477,7.973797154,16.96408403,7.759204879,24.93788118,32.69708606,16.68172577
banked,Aberdeen,2019,SD,1010221700,13287,45.63106796,6063,4438,2786,323935,182235,14449,13287,1162,4773,5466,3296,1095,838,60.30003659,20.03293085,15.33113794,142.9,13.57,31397,20449,1564,10360,8525,92.35170424,58.31091985,41.68908015,9683,5668,1593,2422,24970,17460,13237,50,31397,26779,897,1304,1217,650,550,2.856960856,4.153263051,2.07026149,9.080485397,31397,1992,5312,3644,6566,4850,3930,5103,6.344555212,16.9188139,11.60620441,23.26336911,34.86957353,16.2531452
banked,Alameda,2019,CA,4118359500,30418,23.97264777,7292,7371,15755,1659954,836419,32346,30418,1928,32397,15830,8404,3539,3070,53.08907138,22.35628553,19.39355654,438.9,40.44,78522,57946,5218,17254,35474,90.99506437,38.78093397,61.21906603,17886,12761,1871,3254,63919,43504,30232,186,78522,33539,5777,367,23815,4343,10681,7.357173786,0.4673849367,5.530934006,13.35549273,78522,4689,11267,4620,17806,17116,10665,12359,5.971574845,14.34884491,5.883701383,20.32041975,26.20412114,15.73953796
banked,Alexandria,2019,VA,19515532800,138727,20.44735344,28366,37708,72653,9621981,4885358,147961,138727,9234,169609,64033,34441,15022,13031,53.78632892,23.45977855,20.3504443,2302.1,203.92,348205,250938,20687,70010,160241,91.756131,36.14319075,63.85680925,82253,54779,8986,18488,281150,213023,138390,337,348205,171210,68863,771,29596,43085,34680,19.7765684,0.2214212892,12.37345816,32.37144785,348205,25274,48428,23565,95250,73866,40414,41408,7.258367915,13.90789908,6.767565084,21.166267,27.93383208,11.89184532
banked,Anaheim,2019,CA,9943343000,98457,33.31200423,32798,30731,34928,4551481,1913676,102940,98457,4483,105813,51512,19517,15171,15491,37.88825905,29.45138997,30.07260444,2029.5,201.49,343828,225221,51509,100046,73666,77.12957495,67.29168239,32.70831761,105227,66133,17196,21898,269976,181630,97994,463,343828,83658,8911,1582,58585,145226,45866,2.591702828,0.4601137778,42.23797945,45.28979606,343828,22458,61100,35049,78328,68480,38461,39952,6.531754249,17.77051316,10.19375967,24.30226741,34.49602708,11.61976337
banked,Anderson,2019,SC,2653277100,38824,52.49845456,20382,11204,7238,1064094,575084,43648,38824,4824,16863,13169,6421,2399,3377,48.75844787,18.21702483,25.64355684,669.8,53.2,96639,66454,10055,34006,22393,84.86923285,66.30300659,33.69699341,27481,18006,3488,5987,77550,47331,38726,98,96639,67861,21896,105,859,3018,2900,22.65751922,0.1086517865,3.122962779,25.88913379,96639,5013,16504,8668,16976,18347,13017,18114,5.187346723,17.07799129,8.969463674,22.26533801,31.23480168,18.74398535
banked,Arden-Arcade,2019,CA,445567300,5702,47.29919327,2697,1691,1314,163708,88286,5884,5702,182,3718,3431,1419,946,950,41.35820461,27.5721364,27.68872049,99.7,7.47,14264,9731,1073,4496,4162,88.97338403,57.22947282,42.77052718,3858,2383,691,784,11437,7202,5690,12,14264,7751,1677,31,1270,848,2687,11.75687044,0.2173303421,5.945036455,17.91923724,14264,1051,2161,1321,3593,2407,1340,2391,7.368199663,15.15002804,9.261076837,22.51822771,31.77930454,16.76247897
