status,city,year,state,total_tract_income,total_households_with_income,percent_householdsbelow50k_of_total,total_households_income_below_50k,total_households_income_50k_and_100k,total_households_income_100k_plus,bucket_annual_income_household,median_annual_income_individual,total_housing_units,occupied_housing_units,vacant_housing_units,median_monthly_housing_costs,total_households,total_rent_burden_normal,total_rent_burden_moderate,total_rent_burden_severe,percent_rent_burden_normal,percent_rent_burden_moderate,percent_rent_burden_severe,median_gross_rent_burden,avg_household_size,total_population,total_25_and_older,total_highest_not_graduate_hs,total_highest_graduate_hs,total_highest_college_degree,percent_graduate_hs,percent_no_college_degree,percent_college_degree,total_3_to_24,total_enrolled_pre_college,total_enrolled_higher_education,total_not_enrolled,total_employable,total_employed,complete_plumbing_occupied_housing,lacking_plumbing_occupied_housing,total_all_races,total_white_non_hispanic,total_african_american,total_native_american,total_asian,total_hispanic,total_other,percent_african_american,percent_native_american,percent_hispanic,percent_urm,total_all_ages,total_0_4,total_5_17,total_18_24,total_25_39,total_40_54,total_55_64,total_65_plus,percent_0_4,percent_5_17,percent_18_24,percent_children,percent_youth,percent_elderly
banked,Hamburg,2019,MN,1.65E+08,2005,33.16708229,665,735,605,72301,36404,2113,2005,108,1142,529,397,53,71,75.04725898,10.01890359,13.42155009,25.4,2.56,5150,3608,84,2187,1337,97.67184035,62.94345898,37.05654102,1361,954,124,283,4145,2979,2003,2,5150,4791,135,45,27,28,124,2.621359223,0.8737864078,0.5436893204,4.038834951,5150,258,870,414,1202,814,784,808,5.009708738,16.89320388,8.038834951,21.90291262,29.94174757,15.68932039
banked,Crane Hill,2019,AL,8.65E+07,860,43.60465116,375,322,163,57941,30900,2240,860,1380,704,58,43,0,0,74.13793103,0,0,26.2,2.79,2397,1749,350,924,475,79.98856489,72.84162379,27.15837621,581,395,11,175,1875,924,860,0,2397,2103,7,0,0,24,263,0.2920317063,0,1.001251564,1.293283271,2397,173,388,87,449,530,311,459,7.217355027,16.18690029,3.629536921,23.40425532,27.03379224,19.14893617
banked,Buxton,2019,ND,8.41E+07,999,28.32832833,283,406,310,66995,38497,1126,999,127,741,199,147,13,21,73.86934673,6.532663317,10.55276382,20.1,2.37,2408,1659,92,874,693,94.45449066,58.2278481,41.7721519,668,470,58,140,1898,1285,999,0,2408,2268,0,25,5,35,75,0,1.03820598,1.453488372,2.491694352,2408,148,463,138,425,437,380,417,6.146179402,19.22757475,5.73089701,25.37375415,31.10465116,17.31727575
banked,Boulder Junction,2019,WI,1.46E+08,1945,38.45758355,748,786,411,59901,31260,7489,1945,5544,829,292,196,26,18,67.12328767,8.904109589,6.164383562,16.3,1.89,3672,3171,89,1580,1502,97.19331441,52.63323873,47.36676127,449,372,13,64,3358,1633,1936,9,3672,3544,9,18,0,44,57,0.2450980392,0.4901960784,1.198257081,1.933551198,3672,80,334,87,286,615,828,1442,2.178649237,9.095860566,2.369281046,11.2745098,13.64379085,39.27015251
banked,Bardstown,2019,KY,9.27E+08,10917,39.49803059,4312,4285,2320,297394,146611,11641,10917,724,4121,2933,1893,417,400,64.54142516,14.21752472,13.6379134,116.7,12.58,27814,18454,1753,11197,5504,90.50070445,70.17448792,29.82551208,8260,5436,328,2496,21735,14144,10904,13,27814,24343,1939,47,199,277,1009,6.971309413,0.1689796505,0.9959013446,8.136190408,27814,1970,4845,2545,5361,5709,3253,4131,7.082764076,17.41928525,9.150068311,24.50204933,33.65211764,14.85223269
banked,Daleville,2019,IN,1.22E+08,1584,43.81313131,694,620,270,58234,29583,1657,1584,73,745,291,187,18,42,64.26116838,6.18556701,14.43298969,20.7,2.49,3952,2864,257,1739,868,91.02653631,69.69273743,30.30726257,935,677,93,165,3263,1966,1578,6,3952,3833,26,0,2,59,32,0.6578947368,0,1.49291498,2.150809717,3952,194,599,295,652,930,470,812,4.908906883,15.15688259,7.464574899,20.06578947,27.53036437,20.5465587
banked,Hallsville,2019,TX,4.44E+08,4543,40.47985912,1839,1491,1213,139764,64038,4958,4543,415,2014,1435,887,324,169,61.81184669,22.57839721,11.77700348,50,5.72,13027,8352,730,4991,2631,91.25957854,68.49856322,31.50143678,4306,2904,357,1045,9883,6343,4543,0,13027,11374,709,153,19,579,193,5.442542412,1.174483764,4.44461503,11.06164121,13027,739,2876,1060,2383,2784,1693,1492,5.672833346,22.07722423,8.136946342,27.75005757,35.88700391,11.45313579
banked,Millersport,2019,OH,2.41E+08,2831,36.73613564,1040,1053,738,128734,64658,3586,2831,755,1956,514,316,95,64,61.47859922,18.48249027,12.45136187,48.1,5,7013,5174,442,3406,1326,91.45728643,74.3718593,25.6281407,1556,1020,193,343,5853,3794,2828,3,7013,6799,48,15,21,9,121,0.684443177,0.2138884928,0.1283330957,1.026664765,7013,357,982,500,1139,1489,1135,1411,5.090546129,14.00256666,7.129616427,19.09311279,26.22272922,20.11977756
banked,Aberdeen,2019,SD,1.01E+09,13287,45.63106796,6063,4438,2786,323935,182235,14449,13287,1162,4773,5466,3296,1095,838,60.30003659,20.03293085,15.33113794,142.9,13.57,31397,20449,1564,10360,8525,92.35170424,58.31091985,41.68908015,9683,5668,1593,2422,24970,17460,13237,50,31397,26779,897,1304,1217,650,550,2.856960856,4.153263051,2.07026149,9.080485397,31397,1992,5312,3644,6566,4850,3930,5103,6.344555212,16.9188139,11.60620441,23.26336911,34.86957353,16.2531452
banked,Bainbridge Island,2019,WA,1.48E+09,10115,20,2023,2308,5784,488892,220022,10921,10115,806,7761,2079,1248,393,304,60.02886003,18.9033189,14.62241462,100.2,9.75,24486,17854,277,3716,13861,98.44852694,22.36473619,77.63526381,6040,4926,334,780,19542,11467,10115,0,24486,21616,137,97,747,503,1386,0.5595033897,0.3961447358,2.054235073,3.009883199,24486,1119,4399,1114,2662,4805,4101,6286,4.569958344,17.96536797,4.549538512,22.53532631,27.08486482,25.67181246
banked,Lineville,2019,AL,1.30E+08,2078,52.98363811,1101,566,411,44265,24118,2712,2078,634,587,620,370,97,73,59.67741935,15.64516129,11.77419355,23.6,2.57,5457,3754,615,2289,850,83.61747469,77.35748535,22.64251465,1538,1179,149,210,4311,2520,2032,46,5457,4231,1091,0,0,107,28,19.99266997,0,1.960784314,21.95345428,5457,275,951,477,1046,1065,711,932,5.039398937,17.42715778,8.74106652,22.46655672,31.20762324,17.07898113
banked,Island Heights,2019,NJ,6.67E+07,635,19.68503937,125,222,288,94464,47543,780,635,145,1714,114,66,14,13,57.89473684,12.28070175,11.40350877,23.6,2.36,1497,1161,39,517,605,96.64082687,47.88975022,52.11024978,293,245,29,19,1250,762,635,0,1497,1287,12,5,6,52,135,0.8016032064,0.334001336,3.473613894,4.609218437,1497,48,229,59,272,262,220,407,3.206412826,15.29726119,3.941215765,18.50367401,22.44488978,27.18770875
banked,Mountain Lake,2019,MN,1.37E+08,2381,55.64888702,1325,781,275,93537,57214,2602,2381,221,1354,678,392,134,55,57.81710914,19.7640118,8.112094395,46.2,4.57,5623,3811,613,2187,1011,83.91498294,73.47152978,26.52847022,1507,1120,59,328,4307,2668,2381,0,5623,4606,67,13,358,156,423,1.191534768,0.2311933132,2.774319758,4.197047839,5623,462,989,361,1044,786,752,1229,8.216254668,17.5884759,6.420060466,25.80473057,32.22479104,21.85666015
banked,Amelia,2019,OH,6.27E+08,7977,37.09414567,2959,2873,2145,186384,92570,8482,7977,505,2961,1934,1107,425,226,57.23888314,21.97518097,11.68562565,90,7.8,20602,14213,1616,7723,4874,88.63012735,65.70745093,34.29254907,5646,4041,374,1231,15937,10792,7942,35,20602,19589,153,0,100,323,437,0.742646345,0,1.567808951,2.310455296,20602,1276,3755,1358,4056,4207,3166,2784,6.193573439,18.22638579,6.591593049,24.41995923,31.01155228,13.51325114
banked,Dunbar,2019,WV,2.41E+08,4444,55.76057606,2478,1349,617,177642,100760,5397,4444,953,2738,1970,1116,439,328,56.64974619,22.28426396,16.64974619,98.7,8.34,9464,7052,557,4263,2232,92.10153148,68.34940442,31.65059558,2035,1277,362,396,7956,4571,4444,0,9464,6681,1901,6,161,199,516,20.08664413,0.06339814032,2.102704987,22.25274725,9464,487,1181,744,1926,1679,1326,2121,5.145815723,12.47886729,7.8613694,17.62468301,25.48605241,22.4112426
banked,Allegan,2019,MI,4.76E+08,6203,40.77059487,2529,2223,1451,184164,91669,7193,6203,990,2651,1242,694,229,125,55.87761675,18.43800322,10.06441224,72.8,8.16,17030,11458,913,7376,3169,92.0317682,72.34246814,27.65753186,4923,2997,377,1549,13645,8123,6192,11,17030,15237,593,43,216,451,490,3.482090429,0.252495596,2.648267763,6.382853787,17030,1018,2797,1757,3025,3197,2409,2827,5.977686436,16.42395772,10.31708749,22.40164416,32.71873165,16.60011744
banked,East Grand Rapids,2019,MI,5.14E+08,2673,17.50841751,468,472,1733,281002,120560,2729,2673,56,3495,189,104,28,57,55.02645503,14.81481481,30.15873016,70.9,5.58,7527,4876,77,711,4088,98.42083675,16.16078753,83.83921247,2385,2075,184,126,5473,3652,2661,12,7527,7209,55,0,36,50,177,0.7307028032,0,0.6642752757,1.394978079,7527,530,1814,307,1181,1793,828,1074,7.041317922,24.099907,4.078650193,31.14122492,35.21987512,14.26863292
banked,Mt Hope,2019,AL,4.96E+07,662,48.33836858,320,226,116,50764,27348,904,662,242,603,77,42,0,0,54.54545455,0,0,20,2.93,1939,1342,209,945,188,84.42622951,85.99105812,14.00894188,564,297,71,196,1555,698,662,0,1939,1615,97,95,6,0,126,5.002578649,4.899432697,0,9.902011346,1939,119,297,181,289,497,265,291,6.137184116,15.3171738,9.334708613,21.45435792,30.78906653,15.00773595
banked,Belgrade,2019,MT,9.97E+08,10845,31.23098202,3387,3980,3478,308008,149846,11427,10845,582,5076,2687,1459,606,404,54.29847413,22.55303312,15.03535541,103.1,10.18,27922,18760,948,9042,8770,94.9466951,53.25159915,46.74840085,8000,5331,454,2215,21149,15760,10799,46,27922,26044,27,311,135,378,1027,0.09669794427,1.113817062,1.35377122,2.564286226,27922,2212,5034,1916,7112,5095,3351,3202,7.92206862,18.0287945,6.861972638,25.95086312,32.81283576,11.46765991
banked,Milmine,2019,IL,9.37E+07,1130,41.32743363,467,339,324,65431,35196,1222,1130,92,795,163,87,20,13,53.37423313,12.26993865,7.975460123,18.9,2.59,2930,1927,102,1161,664,94.70679813,65.54229372,34.45770628,815,595,53,167,2210,1424,1130,0,2930,2878,2,0,0,1,49,0.06825938567,0,0.03412969283,0.1023890785,2930,242,536,225,474,553,427,473,8.259385666,18.29351536,7.679180887,26.55290102,34.23208191,16.14334471
banked,Buffalo,2019,WY,3.06E+08,3845,40.83224967,1570,1391,884,118509,64010,4620,3845,775,1877,1158,609,125,141,52.59067358,10.79447323,12.1761658,42.7,4.41,8487,6067,244,3362,2461,95.97824295,59.43629471,40.56370529,2222,1510,15,697,6745,4386,3828,17,8487,7762,49,364,0,176,136,0.5773535996,4.288912454,2.073759868,6.940025922,8487,425,1448,547,1105,1703,1316,1943,5.007658772,17.06138801,6.445151408,22.06904678,28.51419819,22.89383763
banked,Au Train,2019,MI,6.39E+07,1000,46,460,419,121,53205,24634,2223,1000,1223,692,125,65,37,17,52,29.6,13.6,28.7,2.62,2644,2035,84,1357,594,95.87223587,70.81081081,29.18918919,533,416,63,54,2228,1213,992,8,2644,2355,23,196,4,15,51,0.8698940998,7.41301059,0.567322239,8.850226929,2644,114,364,131,376,416,607,636,4.311649017,13.76701967,4.954614221,18.07866868,23.0332829,24.05446293
banked,Kodiak,2019,AK,3.88E+08,3613,23.80293385,860,1231,1522,326357,122755,4273,3613,660,6364,1783,920,323,276,51.59842961,18.11553561,15.47952888,130.2,12.53,11740,7804,753,4194,2857,90.351102,63.39056894,36.60943106,3468,2289,163,1016,8979,6695,3613,0,11740,5690,42,1124,3053,759,1072,0.3577512777,9.574105622,6.465076661,16.39693356,11740,855,2185,896,3106,2111,1479,1108,7.282793867,18.61158433,7.632027257,25.89437819,33.52640545,9.437819421
banked,Iola,2019,WI,1.20E+08,1655,44.41087613,735,582,338,55257,31002,2023,1655,368,824,385,198,87,61,51.42857143,22.5974026,15.84415584,27.3,2.17,3631,2700,140,1661,899,94.81481481,66.7037037,33.2962963,876,654,59,163,2997,1864,1649,6,3631,3577,8,1,6,23,16,0.2203249793,0.02754062242,0.6334343156,0.8812999174,3631,116,602,213,464,756,604,876,3.1947122,16.5794547,5.866152575,19.7741669,25.64031947,24.12558524
banked,Hoosick Falls,2019,NY,2.02E+08,2722,43.68111683,1189,940,593,115550,56392,3210,2722,488,2064,897,457,204,156,50.94760312,22.74247492,17.39130435,57.8,4.96,6786,4660,313,2807,1540,93.2832618,66.9527897,33.0472103,1938,1366,146,426,5318,3318,2684,38,6786,6418,0,8,8,167,185,0,0.1178897731,2.460949013,2.578838786,6786,372,1281,473,1029,1351,1045,1235,5.481874447,18.87709991,6.970232832,24.35897436,31.32920719,18.19923372
banked,Monmouth Beach,2019,NJ,2.64E+08,1423,19.67673928,280,230,913,134861,60625,1923,1423,500,2077,244,124,42,64,50.81967213,17.21311475,26.2295082,28.1,2.26,3212,2432,0,584,1848,100,24.01315789,75.98684211,682,451,112,119,2728,1565,1423,0,3212,3045,0,0,15,55,97,0,0,1.712328767,1.712328767,3212,153,381,246,204,675,673,880,4.763387298,11.86176837,7.658779577,16.62515567,24.28393524,27.39726027
